participant,condition,trial,common,reward.1.1,reward.1.2,reward.2.1,reward.2.2,isymbol_lft,isymbol_rgt,rt1,choice1,final_state,fsymbol_lft,fsymbol_rgt,rt2,choice2,reward
1,story,31,0,0.7287846167169891,0.4406529061904427,0.6028887238863918,0.5904557907290497,1,2,0.7982950170726326,2,1,1,2,1.8427246819319407,1,1
1,story,32,1,0.6928057111125934,0.42553726019326543,0.6517392970958189,0.595000047967849,1,2,0.8456143353814696,1,1,1,2,0.8374751498549813,1,1
1,story,33,0,0.6555688797628769,0.42836857584683496,0.6298662702551889,0.6266498597473341,2,1,0.8967406191732152,1,2,2,1,1.228126522763887,2,1
1,story,34,1,0.6699715384052072,0.4126868191476376,0.6651374551352005,0.6479973827703102,2,1,0.748880104845739,2,2,1,2,0.8037437420725837,2,0
1,story,35,0,0.6675860374688596,0.4118565404173462,0.6629582030098837,0.6522998704874579,1,2,1.1049906415491932,1,2,1,2,1.14156680150154,1,1
1,story,36,1,0.6671108418264962,0.40257465706785545,0.6834314743927051,0.6224790509579656,2,1,0.7242928877276427,2,2,1,2,0.5669452454512793,1,1
1,story,37,1,0.7039270509302679,0.3855778047714007,0.6867258108410985,0.6572161014631329,2,1,0.6075167151784626,2,2,1,2,0.6031245263138771,1,1
1,story,38,0,0.6786729738784592,0.36425577820646493,0.6941330933786375,0.6186203036252436,1,2,0.9691859699469204,2,1,1,2,0.7139945232493119,1,1
1,story,39,1,0.7184509121286629,0.3836212617973775,0.6887952601299141,0.6278077341906165,1,2,0.7339321978633961,1,1,1,2,0.542342358087808,1,1
1,story,40,1,0.7155479211600568,0.3879145029168182,0.727833929716728,0.651266594827543,2,1,0.7372952735222498,1,1,2,1,1.2088825578421163,1,1
1,story,41,1,0.7078808287564455,0.38008472549403627,0.7366376861518873,0.6555165678466418,1,2,0.6271620794532282,1,1,1,2,1.0470851686850438,1,0
1,story,42,1,0.6982541856547644,0.3721169295457376,0.7457424743014999,0.6843318173838744,1,2,0.7695377066784204,2,2,1,2,0.5772514450527524,1,1
1,story,43,1,0.7226701125808257,0.3754422931305598,0.7310033824267483,0.6994583902032624,2,1,1.2458073807456458,2,2,2,1,0.7622688224500962,1,1
1,story,44,1,0.7499797184212593,0.4012284067132921,0.7215541249621955,0.6817650743675023,2,1,0.6073434384315988,2,2,1,2,0.7325824473373359,1,1
1,story,45,1,0.7275802535285896,0.4060503823115569,0.7496049586251855,0.6825540705821161,2,1,0.5888007169742195,2,2,2,1,0.7630547455073611,1,0
1,story,46,1,0.7489951062479151,0.4410965587526328,0.7157244277191851,0.6300369142336488,2,1,0.5959379108726353,2,2,1,2,0.8669807144488004,2,1
1,story,47,0,0.7225865879426712,0.4661796033727804,0.6924858912690126,0.6262260200771443,2,1,0.6815342134186722,2,1,1,2,1.2198116496820148,2,1
1,story,48,1,0.6623779428809713,0.44888569372209375,0.6566895820838201,0.6024925969717221,1,2,0.7465099802884652,1,1,2,1,0.6302358582815941,2,1
1,story,49,1,0.6315218697918119,0.4270618187974795,0.6609291247642202,0.6550037937989585,1,2,0.6008053300529355,1,1,2,1,0.673966389132147,2,1
1,story,50,1,0.5692123633767596,0.4381933914598126,0.6401282679389619,0.6100756807022985,1,2,1.2821939910036235,1,1,1,2,0.8753661036325866,2,1
1,story,51,0,0.5894691939934805,0.40565854956779024,0.6071755954934477,0.6067372731018335,1,2,0.7270623021822757,1,2,1,2,1.15570528005901,1,1
1,story,52,1,0.5801499156866801,0.4046938304210974,0.5646995471161389,0.5905484154080183,1,2,0.6497350673871551,2,2,2,1,0.6905548502272723,1,0
1,story,53,1,0.5422528976421477,0.4195696912812865,0.5918637363178391,0.5665756708381311,2,1,0.9694198182187392,1,1,2,1,0.6669307504753306,2,1
1,story,54,0,0.5514094377549589,0.4359267973705835,0.6061981458579554,0.5524762247560262,1,2,0.7724939586678374,1,2,1,2,1.0441454909923775,1,1
1,story,55,1,0.5411417844351434,0.41176185648555697,0.5907677769989199,0.5442157237998675,1,2,0.7498712478427478,2,2,1,2,0.5629008154855911,1,0
1,story,56,1,0.5280243498386228,0.4320147699261054,0.5969660437148182,0.5323570059277438,2,1,0.8075067103300171,1,1,2,1,0.7837693026531269,2,1
1,story,57,1,0.5421446034890415,0.4400244580520496,0.5626662224392174,0.4974764621700789,1,2,0.6328693634959563,1,1,2,1,0.6620862339614177,2,1
1,story,58,0,0.5864802334156358,0.4804906610738915,0.5907855743105374,0.4986712483258986,2,1,0.7818243841675212,1,2,2,1,1.1361213913605752,2,0
1,story,59,1,0.6093255362070077,0.4402120745508475,0.5590705235579301,0.5053865217159895,1,2,0.6441645966369833,1,1,2,1,0.5121771364492815,2,0
1,story,60,0,0.5671731242965499,0.4618172458417771,0.5627650538470521,0.5131526974130438,2,1,0.7003472466030871,1,2,1,2,1.0070718007609685,2,1
1,story,61,1,0.5639469676479489,0.4461157781169478,0.5717956141575378,0.5178489452145034,1,2,0.7716245614210493,2,2,1,2,0.6148998113840207,2,1
1,story,62,0,0.521544872840181,0.4266919582484796,0.5813179815542806,0.4807176867240735,1,2,0.7823635008653582,2,1,2,1,1.1998444426826609,1,1
1,story,63,0,0.4758289289628386,0.4377332747971037,0.5788375208722218,0.4470601489421005,2,1,0.7441727029754475,1,2,1,2,0.8523760461021084,2,0
1,story,64,0,0.4895190004303365,0.4441079461459897,0.5936519525249513,0.4516613195330104,1,2,0.8887099199582735,1,2,1,2,1.006184021111039,1,1
